,art_no,art_name,hierarchy_level2_desc,hierarchy_level3_desc,date_of_day,store_count,sold_qty_units,total_cust_count,low_stock_warning,unit_price_weekly,unit_discount_weekly
1563,11,200g Green Pepper,Spices,Spices I,2019-02-28,30,41.0,39,0,13.49,0.0
289,6,80g Bio Pepper Whole,Spices,Spices II,2019-02-28,32,76.0,72,0,3.9,-0.0
560,18,Fix for Potato Gratin,Broth_Products,Soup_Broth_Products,2019-02-28,23,92.0,33,0,0.76,-0.0
1909,25,150g Chocolate Coatings,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-02-28,33,120.0,64,0,1.98,-0.01
171,13,500g Indian Curry,Spices,Spices I,2019-02-28,49,96.0,88,0,6.64,-0.01
429,9,Spiced Salt for Meat,Spices,Spices I,2019-02-28,5,6.0,6,0,6.74,-0.25
1033,21,80g Granulated Onion,Spices,Spices II,2019-02-28,40,64.0,62,0,2.92,-0.0
820,3,200g Chocolate Crumble,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-02-28,35,79.0,56,0,1.29,-0.0
885,24,1kg Gnocchi,Extras,Dough,2019-02-28,21,55.0,45,0,2.99,-0.0
2282,20,420g Baking Powder,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-02-28,1,1.0,1,1,4.19,0.0
1819,16,500g Spaghetti,Extras,Dough,2019-02-28,56,387.0,213,0,1.77,-0.0
349,7,30g Bio Thyme,Spices,Spices II,2019-02-28,31,45.0,44,0,2.91,-0.0
685,1,1kg Meat Sauce,Broth_Products,Soup_Broth_Products,2019-02-28,22,32.0,28,0,15.49,-0.5
2362,17,125g Dark Chocolate,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-02-28,50,185.0,120,0,1.36,-0.0
1393,23,25g Pistachios Chopped,Baking_Desserts_Sugar_Salt,Dried_Fruits,2019-02-28,34,82.0,51,0,3.48,-0.01
2483,2,Pasta Penne,Broth_Products,Soup_Broth_Products,2019-02-28,35,137.0,61,0,0.46,0.0
17,10,Meat Sauce,Broth_Products,Soup_Broth_Products,2019-02-28,27,90.0,41,0,0.64,0.0
